ticker,date,marketCap
AMAL,2025-06-30,920460000
AMBA,2024-06-30,2218950228
AMBA,2024-07-31,2164981499
AMBA,2024-08-31,2455345659
AMBA,2024-09-30,2320034315
AMBA,2024-10-31,2310986140
AMBA,2024-11-30,2942713265
AMBA,2024-12-31,2991655666
AMBA,2025-01-31,3155345376
AMBA,2025-02-28,2526497217
AMBA,2025-03-31,2105250852
AMBA,2025-04-30,2007371118
AMBA,2025-05-31,2201875717
AMBA,2025-06-30,2161719929
AMBC,2024-06-30,592402585
AMBC,2024-07-31,629017725
AMBC,2024-08-31,557961136
AMBC,2024-09-30,534593533
AMBC,2024-10-31,539362431
AMBC,2024-11-30,612326580
AMBC,2024-12-31,603265672
AMBC,2025-01-31,554622907
AMBC,2025-02-28,463060054
AMBC,2025-03-31,410984945
AMBC,2025-04-30,371125644
AMBC,2025-05-31,370460883
AMBC,2025-06-30,319362831
AMBP,2024-06-30,2031840000
AMBP,2024-07-31,2199536000
AMBP,2024-08-31,2139766000
AMBP,2024-09-30,2253329000
AMBP,2024-10-31,2199536000
AMBP,2024-11-30,2199536000
AMBP,2024-12-31,1799076999
AMBP,2025-01-31,1655629000
AMBP,2025-02-28,1715399000
AMBP,2025-03-31,1805054000
AMBP,2025-04-30,2217467000
AMBP,2025-05-31,2331030000
AMBP,2025-06-30,2492409000
AMC,2024-06-30,1601473380
AMC,2024-07-31,1921439429
AMC,2024-08-31,1744131460
AMC,2024-09-30,1885600976
AMC,2024-10-31,1819294128
AMC,2024-11-30,2051368095
AMC,2024-12-31,1649382832
AMC,2025-01-31,1288839348
AMC,2025-02-28,1367578730
AMC,2025-03-31,1189379077
AMC,2025-04-30,1106495517
AMC,2025-05-31,1534263880
AMC,2025-06-30,1297228730
AMCX,2024-06-30,429541560
AMCX,2024-07-31,496475910
AMCX,2024-08-31,439378950
AMCX,2024-09-30,387652210
AMCX,2024-10-31,361332900
AMCX,2024-11-30,420216780
AMCX,2024-12-31,443727900
AMCX,2025-01-31,431626230
AMCX,2025-02-28,327193300
AMCX,2025-03-31,308368480
AMCX,2025-04-30,286854400
AMCX,2025-05-31,296266810
AMCX,2025-06-30,268926000
AMN,2024-06-30,1952580220
AMN,2024-07-31,2577268680
AMN,2024-08-31,2024314190
AMN,2024-09-30,1618153470
AMN,2024-10-31,1448283620
AMN,2024-11-30,994346000
AMN,2024-12-31,913744000
AMN,2025-01-31,1051264000
AMN,2025-02-28,968819160
AMN,2025-03-31,935912980
AMN,2025-04-30,781713090
AMN,2025-05-31,808766320
AMN,2025-06-30,839415920
AMPH,2024-06-30,1956280000
AMPH,2024-07-31,2115985920
AMPH,2024-08-31,2369787540
AMPH,2024-09-30,2328226750
AMPH,2024-10-31,2424176750
AMPH,2024-11-30,2167990250
AMPH,2024-12-31,1781311750
AMPH,2025-01-31,1672888249
AMPH,2025-02-28,1363929250
AMPH,2025-03-31,1390795250
AMPH,2025-04-30,1171069750
AMPH,2025-05-31,1224850110
AMPH,2025-06-30,1170062960
AMPL,2024-06-30,1075351400
