date,ticker,d2c,shorts,volume
2024-01-12,BB,6.02,37192027,6177896
2024-01-31,BB,3.35,44777129,13371678
2024-02-15,BB,6.05,46756318,7725383
2024-02-29,BB,8.25,46381277,5621638
2024-03-15,BB,3.2,43289675,13526526
2024-03-28,BB,5.31,47873879,9011722
2024-04-15,BB,3.76,44214311,11744246
2024-04-30,BB,8.34,42586717,5104798
2024-05-15,BB,2.42,42131319,17408588
2024-05-31,BB,5.89,41224263,7001500
2024-06-14,BB,4.56,51992700,11407081
2024-06-28,BB,1.64,32707263,19920814
2024-07-15,BB,5.23,32717693,6253545
2024-07-31,BB,5.99,31622213,5282242
2024-08-15,BB,8.01,31473367,3930158
2024-08-30,BB,6.84,29206030,4267581
2024-09-13,BB,6.87,29489003,4292103
2024-09-30,BB,2.67,30281816,11346162
2024-10-15,BB,3.26,26300336,8077215
2024-10-31,BB,3.22,26975284,8384838
2024-11-15,BB,2.39,24825096,10366597
2024-11-29,BB,2.62,26267590,10041409
2024-12-13,BB,1.78,27544458,15483905
2024-12-31,BB,1.52,29497696,19427735
2025-01-15,BB,1.5,30538347,20323051
2025-01-31,BB,1.48,28691262,19428210
2025-02-14,BB,1.21,35284669,29062748
2025-02-28,BB,1.0,37662787,46673676
2025-03-14,BB,1.72,34593724,20155724
2025-03-31,BB,2.44,32861889,13444928
2025-04-15,BB,1.64,31474016,19222873
2025-04-30,BB,2.79,31557588,11291575
2025-05-15,BB,2.32,35266702,15193663
2025-05-30,BB,2.96,34254597,11570248
2017-12-29,EXPR,4.74,10168225,2146595
2018-01-12,EXPR,2.33,13781940,5925157
2018-01-31,EXPR,7.63,14192488,1859064
2018-02-15,EXPR,6.31,13117554,2077657
2018-02-28,EXPR,9.0,13025083,1446631
2018-03-15,EXPR,4.24,12926272,3049162
2018-05-15,EXPR,8.21,14456960,1761764
2018-06-15,EXPR,5.09,14041550,2759604
2018-06-29,EXPR,7.04,13849658,1968656
2018-07-13,EXPR,9.47,14399249,1521202
2018-07-31,EXPR,10.48,14293239,1363602
2018-08-15,EXPR,12.23,13199554,1079587
2018-08-31,EXPR,5.16,15946622,3090709
2018-09-14,EXPR,7.02,15550935,2216269
2018-09-28,EXPR,9.31,17369127,1865461
2018-10-15,EXPR,7.32,16484405,2252907
2018-10-31,EXPR,7.78,18273337,2350232
2018-11-15,EXPR,10.11,18474910,1828148
2018-11-30,EXPR,4.37,18524419,4241533
2018-12-14,EXPR,6.84,18526042,2710061
2018-12-31,EXPR,8.66,19328948,2232026
2019-01-15,EXPR,7.18,16891582,2354144
2019-01-31,EXPR,7.65,14792010,1933297
2019-02-15,EXPR,11.89,14927577,1255367
2019-02-28,EXPR,13.47,16282852,1208425
2019-03-15,EXPR,4.8,14235568,2964941
2019-03-29,EXPR,6.4,13402320,2095505
2019-04-15,EXPR,9.29,14500117,1560794
2019-04-30,EXPR,8.68,15214871,1752529
2019-05-15,EXPR,10.82,14991356,1385743
2019-05-31,EXPR,5.94,16274954,2738897
2019-06-14,EXPR,6.81,15781146,2316725
2019-06-28,EXPR,5.52,12742492,2309293
2019-07-15,EXPR,8.31,13684498,1646868
2019-07-31,EXPR,10.3,13185314,1280689
2019-08-15,EXPR,11.15,12416703,1113485
2019-08-30,EXPR,8.16,12680011,1553175
2019-09-13,EXPR,7.47,12393651,1658954
2019-09-30,EXPR,6.23,12507411,2006864
2019-10-15,EXPR,9.61,12740779,1326227
2019-10-31,EXPR,9.75,12551338,1287810
2019-11-15,EXPR,7.58,11611281,1532825
2019-11-29,EXPR,8.04,12302018,1529899
2019-12-13,EXPR,4.04,11420220,2823934
2019-12-31,EXPR,8.32,12218665,1469121
2020-01-15,EXPR,8.79,13104208,1490316
2020-01-31,EXPR,5.94,13106425,2207849
2020-02-14,EXPR,10.72,13871773,1294124
2020-02-28,EXPR,12.18,14533467,1192920
2020-03-13,EXPR,7.85,15041892,1915929
2020-03-31,EXPR,10.63,14835285,1396256
2020-04-15,EXPR,8.17,13595885,1663534
2020-04-30,EXPR,11.07,13138060,1187059
2020-05-15,EXPR,12.94,13907112,1074695
2020-05-29,EXPR,9.97,12683875,1272180
2020-06-15,EXPR,5.55,12026974,2165516
2020-06-30,EXPR,8.06,13611594,1689385
2020-07-15,EXPR,7.13,14136408,1983048
2020-07-31,EXPR,7.52,14608515,1943358
2020-08-14,EXPR,8.87,14968557,1687432
2020-08-31,EXPR,7.58,14395222,1899797
2020-09-15,EXPR,6.68,14627301,2188932
2020-09-30,EXPR,2.11,11477272,5438159
2020-10-15,EXPR,1.39,9242863,6671467
2020-10-30,EXPR,3.18,10110495,3181876
2020-11-13,EXPR,1.04,8319431,7990089
2020-11-30,EXPR,1.11,7698098,6930074
2020-12-15,EXPR,1.35,6972982,5152589
2020-12-31,EXPR,2.77,8023698,2894054
2021-01-15,EXPR,1.0,7220623,7312589
2021-01-29,EXPR,1.0,8556228,99808319
2021-02-12,EXPR,1.0,5930097,15128508
2021-02-26,EXPR,1.0,4562807,17546109
2021-03-15,EXPR,1.0,6275596,30041512
2021-03-31,EXPR,1.0,5401693,12721857
2021-04-15,EXPR,1.6,6562957,4109381
2021-04-30,EXPR,2.21,6269820,2841473
2021-05-14,EXPR,1.0,4570609,4647212
2021-05-28,EXPR,1.0,6152960,15711422
2021-06-15,EXPR,1.0,7070633,22607102
2021-06-30,EXPR,1.0,6397325,17593701
2021-07-15,EXPR,1.0,4232016,7011924
2021-07-30,EXPR,1.01,5180653,5123332
2021-08-13,EXPR,1.0,3987000,5569758
2021-08-31,EXPR,1.0,3334652,7268004
2021-09-15,EXPR,1.0,3382500,4527445
2021-09-30,EXPR,1.0,3149589,3907983
2021-10-15,EXPR,1.25,3437167,2756778
2021-10-29,EXPR,1.0,3302311,3301344
2021-11-15,EXPR,1.0,2783913,4110596
2021-11-30,EXPR,1.0,3381872,3790691
2021-12-15,EXPR,1.0,3081494,6178201
2021-12-31,EXPR,1.0,3003673,3423243
2022-01-14,EXPR,1.3,3370434,2592659
2022-01-31,EXPR,1.25,3380952,2694460
2022-02-15,EXPR,1.17,4040163,3459606
2022-02-28,EXPR,1.89,3960634,2098393
2022-03-15,EXPR,1.36,4060819,2982307
2022-03-31,EXPR,1.0,3772368,3938768
2022-04-14,EXPR,1.4,3565173,2539807
2022-04-29,EXPR,2.13,3558590,1669900
2022-05-13,EXPR,1.51,3772837,2500503
2022-05-31,EXPR,1.0,4333960,6002279
2022-06-15,EXPR,1.33,3805320,2859774
2022-06-30,EXPR,1.49,5308574,3566614
2022-07-15,EXPR,2.65,5543864,2094150
2022-07-29,EXPR,2.95,5453601,1848555
2022-08-15,EXPR,1.58,4975809,3152624
2022-08-31,EXPR,1.77,6154722,3468736
2022-09-15,EXPR,2.5,6504004,2600382
2022-09-30,EXPR,5.65,6156926,1089186
2022-10-14,EXPR,6.74,6471849,960394
2022-10-31,EXPR,7.27,6307084,867391
2022-11-15,EXPR,3.79,6328790,1667827
2022-11-30,EXPR,7.51,6765746,901394
2022-12-15,EXPR,1.0,6404022,10353035
2022-12-30,EXPR,2.96,6565293,2221471
2023-01-13,EXPR,3.46,6266496,1813059
2023-01-31,EXPR,3.24,6276861,1939038
2023-02-15,EXPR,1.93,7376251,3831617
2023-02-28,EXPR,7.16,6814195,951046
2023-03-15,EXPR,6.64,7790728,1173073
2023-03-31,EXPR,4.34,7908120,1821721
2023-04-14,EXPR,3.63,8370703,2307280
2023-04-28,EXPR,8.62,8952311,1038144
2023-05-15,EXPR,13.84,7970951,575824
2023-05-31,EXPR,5.28,8892953,1685669
2023-06-15,EXPR,8.24,10808244,1311257
2023-06-30,EXPR,5.46,8171932,1497906
2023-07-14,EXPR,6.95,7444458,1071783
2023-07-31,EXPR,10.96,8055496,734700
2023-08-15,EXPR,9.74,7683893,788924
2023-08-31,EXPR,5.7,415775,72942
2023-09-15,EXPR,3.03,461010,152359
2023-09-29,EXPR,11.87,479231,40385
2023-10-13,EXPR,11.86,436388,36794
2023-10-31,EXPR,12.45,467634,37550
2023-11-15,EXPR,9.66,423459,43837
2023-11-30,EXPR,7.94,451022,56771
2023-12-15,EXPR,8.83,440554,49874
2023-12-29,EXPR,6.2,476882,76890
2024-01-12,EXPR,9.83,440807,44827
2024-01-31,EXPR,15.06,469790,31195
2024-02-15,EXPR,1.02,602114,591172
2024-02-29,EXPR,3.12,569343,182538
2024-03-15,EXPR,1.0,265240,321553
2024-03-28,EXPR,4.96,219957,44315
2024-04-15,EXPR,1.58,234053,148421
2017-12-29,GME,15.04,36411374,2420954
2018-01-12,GME,7.43,35860720,4824997
2018-01-31,GME,9.06,34995314,3862447
2018-02-15,GME,9.91,36036284,3636343
2018-02-28,GME,10.94,34531012,3155225
2018-03-15,GME,10.01,31573372,3152699
2018-05-15,GME,10.74,43576689,4056383
2018-06-15,GME,5.33,43492169,8164640
2018-06-29,GME,6.79,45820054,6749387
2018-07-13,GME,15.27,46082458,3018622
2018-07-31,GME,19.46,40433500,2077622
2018-08-15,GME,17.89,39487626,2207704
2018-08-31,GME,7.83,39264736,5011840
2018-09-14,GME,5.66,33049840,5843456
2018-09-28,GME,14.29,32220492,2255378
2018-10-15,GME,11.75,26644451,2268101
2018-10-31,GME,10.54,24019096,2279315
2018-11-15,GME,11.74,26839637,2286339
2018-11-30,GME,4.72,28056745,5942396
2018-12-14,GME,9.77,27571943,2822835
2018-12-31,GME,12.01,29725132,2475536
2019-01-15,GME,7.83,30285373,3867048
2019-01-31,GME,5.4,33667346,6232868
2019-02-15,GME,11.78,32920238,2793851
2019-02-28,GME,11.77,35270945,2996878
2019-03-15,GME,12.32,38523726,3127356
2019-03-29,GME,11.56,37916795,3280822
2019-04-15,GME,5.93,41267606,6957610
2019-04-30,GME,10.35,39295659,3798211
2019-05-15,GME,15.4,39837855,2586065
2019-05-31,GME,11.83,41916196,3543259
2019-06-14,GME,3.68,46908850,12757290
2019-06-28,GME,11.19,47834755,4273128
2019-07-15,GME,8.49,66891494,7883287
2019-07-31,GME,9.01,57226706,6348362
2019-08-15,GME,12.68,58090529,4581776
2019-08-30,GME,6.6,60383797,9148701
2019-09-13,GME,5.03,60733786,12075919
2019-09-30,GME,6.75,62209621,9211770
2019-10-15,GME,11.54,64833717,5616880
2019-10-31,GME,17.56,64955956,3698276
2019-11-15,GME,23.24,67269826,2893952
2019-11-29,GME,24.11,67243112,2788547
2019-12-13,GME,11.83,68951766,5828480
2019-12-31,GME,12.96,62679757,4838178
2020-01-15,GME,14.86,65163827,4386250
2020-01-31,GME,23.76,63365288,2667014
2020-02-14,GME,25.93,66318641,2557793
2020-02-28,GME,21.42,68131107,3181115
2020-03-13,GME,18.08,62514110,3457769
2020-03-31,GME,11.62,55993560,4819680
2020-04-15,GME,12.31,58844647,4778578
2020-04-30,GME,14.84,57024141,3843461
2020-05-15,GME,22.13,55593021,2511834
2020-05-29,GME,25.37,56337561,2220521
2020-06-15,GME,11.53,59990702,5203820
2020-06-30,GME,17.03,54559609,3204606
2020-07-15,GME,25.82,53499964,2072383
2020-07-31,GME,20.82,54524532,2618558
2020-08-14,GME,15.5,55688385,3593418
2020-08-31,GME,15.96,57860937,3626133
2020-09-15,GME,6.1,66409745,10885180
2020-09-30,GME,5.62,68628509,12207895
2020-10-15,GME,3.55,70337051,19796553
2020-10-30,GME,8.11,66806277,8242526
2020-11-13,GME,14.05,67454064,4802213
2020-11-30,GME,8.72,67982121,7797115
2020-12-15,GME,6.89,68127116,9885845
2020-12-31,GME,6.14,71196206,11588797
2021-01-15,GME,2.1,61782730,29385884
2021-01-29,GME,1.0,21409004,96789540
2021-02-12,GME,1.0,16468038,40407815
2021-02-26,GME,1.0,14200138,35190707
2021-03-15,GME,1.0,10187324,35871397
2021-03-31,GME,1.0,10696160,21048359
2021-04-15,GME,1.13,11112124,9852978
2021-04-30,GME,2.11,11817478,5600751
2021-05-14,GME,3.15,11972632,3803141
2021-05-28,GME,1.45,11971702,8235755
